km_debut,km_fin,geometry
96.42106,96.55581,"MULTILINESTRING ((2570857.209171604 1162375.0113461632, 2570857.2689932436 1162374.890602907))"
90.256434,90.268434,"MULTILINESTRING ((2570868.609736365 1162350.4677965776, 2570868.614914329 1162350.456971205))"
90.206884,90.225384,"MULTILINESTRING ((2572233.386661679 1161426.8034247453, 2572233.4039041493 1161426.7967204768))"
90.251634,90.269134,"MULTILINESTRING ((2572168.5434771683 1161446.7423600045, 2572168.5603688536 1161446.7377860602))"
92.205691,92.280441,"MULTILINESTRING ((2570871.4779219395 1162349.8078339214, 2570871.517843813 1162349.744637351))"
92.355691,92.422691,"MULTILINESTRING ((2571874.2779679103 1159306.1893522136, 2571874.315790177 1159306.1340487225))"
92.521441,92.579191,"MULTILINESTRING ((2572014.1970445076 1159103.654262673, 2572014.2253599884 1159103.6039308137))"
92.633441,92.758441,"MULTILINESTRING ((2571912.305350594 1159257.9465581134, 2571912.232993669 1159258.0484868893))"
92.893691,92.920941,"MULTILINESTRING ((2571874.622206873 1159305.7735164457, 2571874.637980686 1159305.751295975))"
92.920941,92.942441,"MULTILINESTRING ((2569825.936597651 1148380.045403319, 2569825.9469037526 1148380.0642721893))"
92.942441,92.994191,"MULTILINESTRING ((2569827.5974502405 1148383.086174112, 2569827.622256728 1148383.1315910767))"
92.994191,93.071691,"MULTILINESTRING ((2569834.815422001 1148396.3011981884, 2569834.85257183 1148396.3692139233))"
93.134441,93.196441,"MULTILINESTRING ((2569780.03421213 1163453.8485389294, 2569780.09509041 1163453.8367986134))"
93.196441,93.342441,"MULTILINESTRING ((2574809.2719267514 1185643.6738058964, 2574809.3775222776 1185643.7746304215))"
93.387191,93.548691,"MULTILINESTRING ((2574809.3266462404 1185643.8896593465, 2574809.439402479 1185644.0052806274))"
93.912191,93.957191,"MULTILINESTRING ((2556410.7696511387 1152548.4255384898, 2556410.7257912043 1152548.4356035849))"
94.055691,94.176941,"MULTILINESTRING ((2562694.145371859 1161647.569317185, 2562694.2546984153 1161647.6217506344))"
94.231941,94.340691,"MULTILINESTRING ((2572785.974759204 1158639.5028295584, 2572786.065982472 1158639.4436275498))"
94.412691,94.480691,"MULTILINESTRING ((2569819.3427523007 1148368.2452694573, 2569819.3721280764 1148368.30659697))"
94.523691,94.584941,"MULTILINESTRING ((2572995.224849885 1157827.005177262, 2572995.2270472734 1157826.9439666911))"
94.632941,94.701191,"MULTILINESTRING ((2569620.720975043 1148402.0694078256, 2569620.7443418065 1148402.133533147))"
94.834941,94.874441,"MULTILINESTRING ((2565588.411139722 1163200.4329485511, 2565588.450475546 1163200.42935092))"
94.874441,94.921691,"MULTILINESTRING ((2569733.73199388 1163475.3201243528, 2569733.7783889035 1163475.3111764863))"
95.031691,95.145191,"MULTILINESTRING ((2569619.532362163 1163437.299592181, 2569619.6455388633 1163437.3081528223))"
95.231441,95.324941,"MULTILINESTRING ((2569812.4470958416 1163462.8551974604, 2569812.3537985953 1163462.8613516262))"
95.383191,95.467441,"MULTILINESTRING ((2569740.4744850066 1163467.60272706, 2569740.390417702 1163467.6082724002))"
95.534191,95.628191,"MULTILINESTRING ((2569714.0885522068 1163469.3432228654, 2569713.9947560425 1163469.3494099139))"
95.674691,95.736191,"MULTILINESTRING ((2569729.741438088 1163462.2715294084, 2569729.6800724496 1163462.2755924694))"
95.874191,96.058691,"MULTILINESTRING ((2569777.651879881 1163456.5801288832, 2569777.836155169 1163456.5710256866))"
96.222941,96.298441,MULTILINESTRING EMPTY
96.32131,96.34631,"MULTILINESTRING ((2570014.7933211806 1163421.5196473731, 2570014.769477661 1163421.5271631258))"
